ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR,GlobalID
Slovakia,2020-03-16,"72","0","40758",19.49145028,48.7073588,Slovakia,斯洛伐克,Slovaquie,Eslovaquia,Словакия,سلوفاكيا,c17b3ed4-eb1c-4882-83b5-6a52b3179788
Netherlands,2020-03-16,"1413","24","40726",5.60099776,52.2535763,Netherlands,荷兰,Pays-Bas,Países Bajos,Нидерланды,هولندا,7e60b8c3-5c48-45fa-a0fa-6b7b70afd725
Martinique,2020-03-16,"15","0","40717",-61.02147382,14.65277419,Martinique,Martinique,,,,,60442aea-bb07-46e2-be06-6c5c85439d18
France,2020-03-16,"5380","127","40676",2.55042646,46.56487403,France,法国,France,Francia,Франция,فرنسا,3853e514-7177-4d88-81b5-6c914e06aa6e
Ethiopia,2020-03-16,"4","0","40673",39.61601894,8.62613927,Ethiopia,埃塞俄比亚,Éthiopie,Etiopía,Эфиопия,إثيوبيا,540f9eeb-f242-40bb-8629-6d9b68c35068
United Arab Emirates,2020-03-16,"98","0","40774",54.33219878,23.91267254,United Arab Emirates,阿拉伯联合酋长国,Émirats arabes unis,Emiratos Árabes Unidos,Объединенные Арабские Эмираты,الإمارات العربية المتحدة,3e79e65d-349a-47ef-9b37-6e9bfa9406e3
Gibraltar,2020-03-16,"1","0","40683",-5.34488893,36.1381932,Gibraltar,Gibraltar,,,,,612f2f63-d5d1-4b25-a180-745a6ae6d438
Czechia,2020-03-16,"298","0","40664",15.33833995,49.74303614,Czechia,捷克,Tchéquie,Chequia,Чехия,تشيكيا,5f6370a7-2868-41f3-a9eb-76ba0326acf4
Bolivia (Plurinational State of),2020-03-16,"11","0","40645",-64.67054847,-16.71510989,Bolivia (Plurinational State of),玻利维亚（多民族国）,Bolivie (État plurinational de),Bolivia (Estado Plurinacional de)  ,Боливия (Многонациональное Государство),بوليفيا (دولة - المتعددة القوميات),f7b42554-9147-4fc2-a448-79d63427030a
Ukraine,2020-03-16,"5","1","40773",31.38784552,49.01609429,Ukraine,乌克兰,Ukraine,Ucrania,Украина,أوكرانيا,7878a8f8-a77e-4a09-994a-7a35ee90e374
Malaysia,2020-03-16,"553","0","40714",109.7115743,3.79382045,Malaysia,马来西亚,Malaisie,Malasia,Малайзия,ماليزيا,a264f535-9226-4105-8d90-7a3ebcaee2a3
Saint Barthelemy,2020-03-16,"3","0","40748",-62.83353803,17.9057614,Saint Barthelemy,Saint Barthélemy,,,,,e804a030-acec-404c-ba2a-7de32b8b135f
Jordan,2020-03-16,"6","0","40705",36.78694114,31.25338179,Jordan,约旦,Jordanie,Jordania,Иордания,الأردن,619171e9-9a94-485d-b01a-7edb038869ed
Dominican Republic,2020-03-16,"5","0","40667",-70.48543447,18.89309386,Dominican Republic,多米尼加 ,République dominicaine,República Dominicana,Доминиканская Республика,الجمهورية الدومينيكية,1f59400a-6c6a-4ef1-a575-8c4cd4573639
Guadeloupe,2020-03-16,"6","0","40685",-61.53039242,16.20126357,Guadeloupe,,,,,,daf1506d-7ec7-49f1-94f7-8cf7061fb93a
Norway,2020-03-16,"1169","1","40730",14.07508911,64.44784887,Norway,挪威,Norvège,Noruega,Норвегия,النرويج,2dc9f9eb-938d-4862-ba73-8fcc46b39f59
Canada,2020-03-16,"304","1","40653",-98.26094698,61.3930667,Canada,加拿大,Canada,Canadá,Канада,كندا,418dc311-219a-4e29-b8dc-90c0259f4ffc
Monaco,2020-03-16,"9","0","40721",7.41201715,43.75034615,Monaco,摩纳哥,Monaco,Mónaco,Монако,موناكو,92bbb5bf-e0fb-422a-bb77-9187164b8200
Brazil,2020-03-16,"200","0","40647",-53.08875436,-10.7722828,Brazil,巴西,Brésil,Brasil,Бразилия,البرازيل,646e22cc-6622-4029-a928-91e37ed2640e
Lithuania,2020-03-16,"17","0","40712",23.89683075,55.33585013,Lithuania,立陶宛,Lituanie,Lituania,Литва,ليتوانيا,6f8364ef-f9e9-4423-8432-923dc58b9f71
Viet Nam,2020-03-16,"57","0","40779",106.30403531,16.65160342,Viet Nam,越南,Viet Nam,Viet Nam,Вьетнам,فييت نام,49f3ff3e-11ef-4df1-a1c1-938651193b9e
Qatar,2020-03-16,"401","0","40741",51.19120083,25.31580997,Qatar,卡塔尔,Qatar,Qatar,Катар,قطر,7a718572-2341-4266-bc09-97638d748388
Switzerland,2020-03-16,"2200","14","40766",8.23458738,46.8025828,Switzerland,瑞士,Suisse,Suiza,Швейцария,سويسرا,4d05a0fc-a8c5-4208-a0e1-987e5a3f5a62
Sri Lanka,2020-03-16,"19","0","40762",80.70426262,7.61236243,Sri Lanka,斯里兰卡,Sri Lanka,Sri Lanka,Шри-Ланка,سري لانكا,3628d860-03fa-4774-9f9f-98a491979093
Russian Federation,2020-03-16,"93","0","40746",96.68944215,61.9882456,Russian Federation,俄罗斯联邦,Fédération de Russie,Federación de Rusia,Российская Федерация,الاتحاد الروسي,9c3051ad-258b-416a-8608-98c138af7463
Nigeria,2020-03-16,"3","0","40728",8.10527726,9.59360399,Nigeria,尼日利亚,Nigéria,Nigeria,Нигерия,نيجيريا,4404dd9b-ec88-46c8-b2dd-9b581a9cd9bd
Togo,2020-03-16,"1","0","40769",0.97584596,8.53491037,Togo,多哥,Togo,Togo (el),Того,توغو,e2c25c56-f81d-4c83-8ae8-9c18584d546e
Slovenia,2020-03-16,"253","0","40759",14.82707444,46.12355026,Slovenia,斯洛文尼亚,Slovénie,Eslovenia,Словения,سلوفينيا,3e9ce899-b798-4ca6-a406-9d73d00f6ded
Ecuador,2020-03-16,"37","2","40668",-78.78096177,-1.42528337,Ecuador,厄瓜多尔,Équateur,Ecuador,Эквадор,إكوادور,d18bafd0-902f-4e4f-92e1-9e0fdf269a6e
Morocco,2020-03-16,"29","1","40723",-6.31780295,31.88355697,Morocco,摩洛哥,Maroc,Marruecos,Марокко,المغرب,71d6360a-bfca-4a1b-b610-9ebb4e7470db
Pakistan,2020-03-16,"53","0","40733",69.38581881,29.96678898,Pakistan,巴基斯坦,Pakistan,Pakistán,Пакистан,باكستان,a69ce07c-0b4a-47bc-a687-a0aee4a9e15c
Kuwait,2020-03-16,"123","0","40708",47.59355128,29.34250906,Kuwait,科威特,Koweït,Kuwait,Кувейт,الكويت,6680da7e-18c7-41b5-8765-a55dcb23ef71
Kazakhstan,2020-03-16,"6","0","40706",67.30130018,48.1600427,Kazakhstan,哈萨克斯坦,Kazakhstan,Kazajstán,Казахстан,كازاخستان,ef9e7085-b152-49fb-9faf-a6012d46fe23
Saint Lucia,2020-03-16,"2","0","40749",-60.96869084,13.89811518,Saint Lucia,圣卢西亚,Sainte-Lucie,Santa Lucía,Сент-Люсия,سانت لوسيا,f3608b04-1f62-4b1c-9690-a6c2b1f7b1e8
Rwanda,2020-03-16,"5","0","40747",29.91720553,-1.99796798,Rwanda,卢旺达,Rwanda,Rwanda,Руанда,رواندا,4290d17b-20d4-42c1-854d-a6cbffc53907
Mauritania,2020-03-16,"1","0","40718",-10.33226041,20.25990361,Mauritania,毛里塔尼亚,Mauritanie,Mauritania,Мавритания,موريتانيا,99c0b52f-2e2c-461c-bc78-a7ae2b36bf4f
Namibia,2020-03-16,"2","0","40724",17.21845028,-22.13329329,Namibia,纳米比亚,Namibie,Namibia,Намибия,ناميبيا,9085a813-e07f-45b5-a180-a8aedd5f3af0
Serbia,2020-03-16,"62","0","40755",20.81133086,44.03387222,Serbia,塞尔维亚,Serbie,Serbia,Сербия,صربيا,84dfc8fc-e8c0-43f8-8743-a98ee97019d3
Cuba,2020-03-16,"4","0","40661",-79.0381998,21.62142096,Cuba,古巴,Cuba,Cuba,Куба,كوبا,b1c9bede-23a1-45e9-82a7-abc99e93e23a
North Macedonia,2020-03-16,"19","0","40729",21.6991485,41.59922075,North Macedonia,北马其顿,Macédoine du Nord,Macedonia del Norte,Северная Македония,مقدونيا الشمالية,103d3913-f46b-4636-8d62-ac62637d8ac1
Iraq,2020-03-16,"124","9","40698",43.77224552,33.04800654,Iraq,伊拉克,Iraq,Iraq,Ирак,العراق,ab869d17-a999-49a5-a8d7-ac92942ee36f
Democratic Republic of the Congo,2020-03-16,"2","0","40665",23.65431545,-2.87622576,Democratic Republic of the Congo,刚果民主共和国,République démocratique du Congo,República Democrática del Congo,Демократическая Республика Конго,جمهورية الكونغو الديمقراطية ,a931ed34-089c-45fb-b6bc-ad761c9fa2b5
